,parti,abstention,contre,pour,vote_uid
5,Parti progressiste martiniquais,0.0,0.0,2.0,VTANR5L15V3035
6,Parti socialiste,0.0,0.0,6.0,VTANR5L15V3035
7,Rassemblement national,0.0,0.0,1.0,VTANR5L15V3035
8,Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,0.0,0.0,1.0,VTANR5L15V3035
0,La France Insoumise,0.0,3.0,0.0,VTANR5L15V2964
1,La République en Marche,0.0,43.0,0.0,VTANR5L15V2964
2,Les Républicains,0.0,0.0,12.0,VTANR5L15V2964
3,Mouvement Démocrate,0.0,10.0,0.0,VTANR5L15V2964
4,Parti communiste français,0.0,2.0,0.0,VTANR5L15V2964
5,Parti socialiste,0.0,2.0,0.0,VTANR5L15V2964
0,La France Insoumise,0.0,0.0,12.0,VTANR5L15V33
1,La République en Marche,2.0,51.0,2.0,VTANR5L15V33
2,Les Républicains,0.0,5.0,0.0,VTANR5L15V33
3,Mouvement Démocrate,0.0,4.0,0.0,VTANR5L15V33
4,Non rattaché,0.0,1.0,0.0,VTANR5L15V33
5,Non rattachée,0.0,1.0,0.0,VTANR5L15V33
6,Parti communiste français,0.0,0.0,6.0,VTANR5L15V33
7,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V33
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V2598
1,La République en Marche,0.0,67.0,0.0,VTANR5L15V2598
2,Les Républicains,0.0,0.0,14.0,VTANR5L15V2598
3,Mouvement Démocrate,0.0,15.0,0.0,VTANR5L15V2598
4,Parti communiste français,0.0,0.0,3.0,VTANR5L15V2598
5,Parti radical de gauche,0.0,0.0,2.0,VTANR5L15V2598
6,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2598
7,Rassemblement national,0.0,0.0,1.0,VTANR5L15V2598
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V2598
0,La France Insoumise,0.0,2.0,0.0,VTANR5L15V403
1,La République en Marche,0.0,0.0,28.0,VTANR5L15V403
2,Les Républicains,0.0,1.0,0.0,VTANR5L15V403
3,Mouvement Démocrate,0.0,0.0,5.0,VTANR5L15V403
4,Non rattaché,0.0,0.0,1.0,VTANR5L15V403
5,Parti communiste français,0.0,4.0,0.0,VTANR5L15V403
0,La France Insoumise,0.0,2.0,0.0,VTANR5L15V3181
1,La République en Marche,1.0,0.0,55.0,VTANR5L15V3181
2,Les Républicains,0.0,12.0,0.0,VTANR5L15V3181
3,Mouvement Démocrate,2.0,0.0,5.0,VTANR5L15V3181
4,Parti communiste français,0.0,3.0,0.0,VTANR5L15V3181
5,Parti progressiste martiniquais,0.0,1.0,0.0,VTANR5L15V3181
6,Parti socialiste,0.0,4.0,0.0,VTANR5L15V3181
7,Tapura Huiraatira,1.0,0.0,0.0,VTANR5L15V3181
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V2155
1,La République en Marche,0.0,31.0,3.0,VTANR5L15V2155
2,Les Républicains,0.0,8.0,0.0,VTANR5L15V2155
3,Mouvement Démocrate,0.0,5.0,0.0,VTANR5L15V2155
4,"Union des démocrates, radicaux et libéraux",0.0,2.0,0.0,VTANR5L15V2155
0,La France Insoumise,0.0,0.0,3.0,VTANR5L15V2585
1,La République en Marche,0.0,55.0,0.0,VTANR5L15V2585
2,Les Républicains,8.0,0.0,2.0,VTANR5L15V2585
3,Mouvement Démocrate,0.0,11.0,0.0,VTANR5L15V2585
4,Parti communiste français,0.0,0.0,5.0,VTANR5L15V2585
5,Parti radical de gauche,0.0,0.0,2.0,VTANR5L15V2585
6,Parti socialiste,0.0,0.0,4.0,VTANR5L15V2585
7,Rassemblement national,1.0,0.0,0.0,VTANR5L15V2585
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V2585
0,La France Insoumise,0.0,6.0,0.0,VTANR5L15V554
1,La République en Marche,0.0,0.0,64.0,VTANR5L15V554
2,Les Républicains,0.0,11.0,0.0,VTANR5L15V554
3,Mouvement Démocrate,2.0,0.0,6.0,VTANR5L15V554
4,Parti radical de gauche,0.0,2.0,0.0,VTANR5L15V554
5,Parti socialiste,0.0,11.0,1.0,VTANR5L15V554
6,Rassemblement national,0.0,3.0,0.0,VTANR5L15V554
7,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V554
0,Calédonie Ensemble,0.0,0.0,2.0,VTANR5L15V3186
1,Cap sur l'avenir,0.0,0.0,1.0,VTANR5L15V3186
2,Debout la France,0.0,3.0,0.0,VTANR5L15V3186
3,Europe Écologie Les Verts,0.0,1.0,0.0,VTANR5L15V3186
4,La France Insoumise,0.0,17.0,0.0,VTANR5L15V3186
5,La République en Marche,0.0,9.0,267.0,VTANR5L15V3186
6,Les Républicains,0.0,88.0,0.0,VTANR5L15V3186
7,Mouvement Démocrate,0.0,0.0,50.0,VTANR5L15V3186
8,Non déclaré(s),0.0,0.0,1.0,VTANR5L15V3186
9,Non rattaché,0.0,1.0,0.0,VTANR5L15V3186
10,Non rattachée,1.0,0.0,1.0,VTANR5L15V3186
11,Parti communiste français,0.0,14.0,0.0,VTANR5L15V3186
12,Parti progressiste martiniquais,0.0,3.0,0.0,VTANR5L15V3186
13,Parti radical de gauche,0.0,3.0,0.0,VTANR5L15V3186
14,Parti socialiste,0.0,22.0,0.0,VTANR5L15V3186
15,Rassemblement national,0.0,5.0,0.0,VTANR5L15V3186
16,Régions et peuples solidaires,0.0,8.0,0.0,VTANR5L15V3186
17,Tapura Huiraatira,0.0,0.0,1.0,VTANR5L15V3186
18,"Union des démocrates, radicaux et libéraux",5.0,3.0,10.0,VTANR5L15V3186
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1259
1,La République en Marche,0.0,53.0,0.0,VTANR5L15V1259
2,Les Républicains,0.0,0.0,9.0,VTANR5L15V1259
3,Mouvement Démocrate,0.0,12.0,0.0,VTANR5L15V1259
4,Parti communiste français,0.0,0.0,3.0,VTANR5L15V1259
5,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V1259
6,Parti socialiste,0.0,0.0,3.0,VTANR5L15V1259
7,Rassemblement national,0.0,0.0,2.0,VTANR5L15V1259
8,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V1259
9,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V1259
0,La République en Marche,0.0,0.0,15.0,VTANR5L15V2115
1,Les Républicains,2.0,0.0,2.0,VTANR5L15V2115
2,Mouvement Démocrate,0.0,0.0,3.0,VTANR5L15V2115
3,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V2115
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V3128
1,La République en Marche,2.0,70.0,0.0,VTANR5L15V3128
2,Les Républicains,0.0,4.0,0.0,VTANR5L15V3128
3,Mouvement Démocrate,0.0,2.0,0.0,VTANR5L15V3128
4,Parti socialiste,0.0,0.0,2.0,VTANR5L15V3128
0,La République en Marche,0.0,0.0,38.0,VTANR5L15V1835
1,Les Républicains,0.0,0.0,9.0,VTANR5L15V1835
2,Mouvement Démocrate,0.0,0.0,5.0,VTANR5L15V1835
3,Non rattachée,0.0,0.0,1.0,VTANR5L15V1835
4,Parti socialiste,0.0,0.0,3.0,VTANR5L15V1835
5,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V1835
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V2599
1,La République en Marche,0.0,61.0,0.0,VTANR5L15V2599
2,Les Républicains,11.0,0.0,0.0,VTANR5L15V2599
3,Mouvement Démocrate,0.0,8.0,0.0,VTANR5L15V2599
4,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2599
5,Rassemblement national,1.0,0.0,0.0,VTANR5L15V2599
0,La France Insoumise,2.0,0.0,0.0,VTANR5L15V1704
1,La République en Marche,0.0,23.0,0.0,VTANR5L15V1704
2,Les Républicains,0.0,0.0,4.0,VTANR5L15V1704
3,Mouvement Démocrate,0.0,0.0,5.0,VTANR5L15V1704
4,Non rattachée,0.0,1.0,0.0,VTANR5L15V1704
5,Parti communiste français,0.0,0.0,1.0,VTANR5L15V1704
6,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V1704
7,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1704
8,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V1704
9,"Union des démocrates, radicaux et libéraux",0.0,0.0,3.0,VTANR5L15V1704
0,La France Insoumise,0.0,0.0,3.0,VTANR5L15V202
1,La République en Marche,0.0,42.0,0.0,VTANR5L15V202
2,Les Républicains,0.0,0.0,6.0,VTANR5L15V202
3,Mouvement Démocrate,0.0,0.0,6.0,VTANR5L15V202
4,Non rattachée,0.0,1.0,0.0,VTANR5L15V202
5,Parti communiste français,0.0,0.0,2.0,VTANR5L15V202
6,Parti socialiste,0.0,0.0,3.0,VTANR5L15V202
7,Rassemblement national,0.0,0.0,2.0,VTANR5L15V202
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V202
0,Debout la France,0.0,0.0,2.0,VTANR5L15V3029
1,La France Insoumise,0.0,6.0,0.0,VTANR5L15V3029
2,La République en Marche,0.0,1.0,53.0,VTANR5L15V3029
3,Les Républicains,4.0,17.0,2.0,VTANR5L15V3029
4,Mouvement Démocrate,0.0,0.0,8.0,VTANR5L15V3029
5,Parti communiste français,0.0,2.0,0.0,VTANR5L15V3029
6,Parti socialiste,0.0,2.0,0.0,VTANR5L15V3029
7,Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,0.0,1.0,0.0,VTANR5L15V3029
8,"Union des démocrates, radicaux et libéraux",0.0,2.0,0.0,VTANR5L15V3029
0,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V647
1,La France Insoumise,0.0,0.0,2.0,VTANR5L15V647
2,La République en Marche,0.0,0.0,36.0,VTANR5L15V647
3,Les Républicains,8.0,0.0,0.0,VTANR5L15V647
4,Mouvement Démocrate,0.0,0.0,7.0,VTANR5L15V647
5,Non rattaché,0.0,0.0,1.0,VTANR5L15V647
6,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V647
7,Parti socialiste,0.0,0.0,3.0,VTANR5L15V647
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V647
0,La France Insoumise,2.0,0.0,0.0,VTANR5L15V910
1,La République en Marche,0.0,23.0,0.0,VTANR5L15V910
2,Mouvement Démocrate,0.0,2.0,0.0,VTANR5L15V910
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V2715
1,La République en Marche,0.0,47.0,0.0,VTANR5L15V2715
2,Les Républicains,0.0,5.0,0.0,VTANR5L15V2715
3,Mouvement Démocrate,0.0,9.0,0.0,VTANR5L15V2715
4,Non rattachée,1.0,0.0,0.0,VTANR5L15V2715
5,Parti communiste français,0.0,0.0,5.0,VTANR5L15V2715
6,Parti socialiste,0.0,0.0,3.0,VTANR5L15V2715
7,Rassemblement national,0.0,1.0,0.0,VTANR5L15V2715
0,La France Insoumise,0.0,0.0,3.0,VTANR5L15V2681
1,La République en Marche,0.0,49.0,0.0,VTANR5L15V2681
2,Les Républicains,0.0,6.0,0.0,VTANR5L15V2681
3,Mouvement Démocrate,0.0,9.0,0.0,VTANR5L15V2681
4,Parti communiste français,0.0,0.0,3.0,VTANR5L15V2681
5,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2681
0,La France Insoumise,0.0,0.0,4.0,VTANR5L15V2976
1,La République en Marche,0.0,31.0,4.0,VTANR5L15V2976
2,Les Républicains,5.0,3.0,0.0,VTANR5L15V2976
3,Mouvement Démocrate,0.0,5.0,0.0,VTANR5L15V2976
4,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2976
5,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2976
0,La France Insoumise,0.0,0.0,4.0,VTANR5L15V395
1,La République en Marche,0.0,49.0,0.0,VTANR5L15V395
2,Mouvement Démocrate,0.0,3.0,0.0,VTANR5L15V395
3,Non rattaché,0.0,1.0,0.0,VTANR5L15V395
4,Parti progressiste martiniquais,1.0,0.0,0.0,VTANR5L15V395
5,Parti socialiste,2.0,0.0,0.0,VTANR5L15V395
6,Rassemblement national,0.0,0.0,2.0,VTANR5L15V395
7,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V395
0,Debout la France,0.0,1.0,0.0,VTANR5L15V995
1,La France Insoumise,0.0,3.0,0.0,VTANR5L15V995
2,La République en Marche,0.0,0.0,101.0,VTANR5L15V995
3,Les Républicains,11.0,0.0,0.0,VTANR5L15V995
4,Mouvement Démocrate,0.0,0.0,12.0,VTANR5L15V995
5,Parti communiste français,0.0,2.0,0.0,VTANR5L15V995
6,Parti radical de gauche,0.0,3.0,0.0,VTANR5L15V995
7,Parti socialiste,3.0,0.0,0.0,VTANR5L15V995
8,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V995
9,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V995
0,La République en Marche,0.0,23.0,0.0,VTANR5L15V1741
1,Les Républicains,0.0,0.0,6.0,VTANR5L15V1741
2,Mouvement Démocrate,0.0,5.0,0.0,VTANR5L15V1741
3,Parti communiste français,0.0,1.0,0.0,VTANR5L15V1741
4,Parti socialiste,0.0,3.0,0.0,VTANR5L15V1741
0,Cap sur l'avenir,0.0,1.0,0.0,VTANR5L15V1246
1,La France Insoumise,0.0,0.0,4.0,VTANR5L15V1246
2,La République en Marche,0.0,37.0,0.0,VTANR5L15V1246
3,Les Républicains,0.0,0.0,6.0,VTANR5L15V1246
4,Mouvement Démocrate,0.0,4.0,2.0,VTANR5L15V1246
5,Non rattaché,0.0,1.0,0.0,VTANR5L15V1246
6,Parti communiste français,0.0,0.0,2.0,VTANR5L15V1246
7,Parti progressiste martiniquais,0.0,0.0,2.0,VTANR5L15V1246
8,Parti socialiste,0.0,0.0,1.0,VTANR5L15V1246
9,Régions et peuples solidaires,0.0,0.0,2.0,VTANR5L15V1246
10,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V1246
0,Calédonie Ensemble,0.0,0.0,2.0,VTANR5L15V610
1,La France Insoumise,0.0,0.0,5.0,VTANR5L15V610
2,La République en Marche,0.0,40.0,0.0,VTANR5L15V610
3,Les Républicains,0.0,7.0,0.0,VTANR5L15V610
4,Mouvement Démocrate,0.0,2.0,0.0,VTANR5L15V610
5,Non rattaché,0.0,1.0,0.0,VTANR5L15V610
6,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V610
7,Parti socialiste,0.0,0.0,2.0,VTANR5L15V610
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V610
0,La France Insoumise,0.0,3.0,0.0,VTANR5L15V3204
1,La République en Marche,0.0,2.0,56.0,VTANR5L15V3204
2,Les Républicains,0.0,0.0,8.0,VTANR5L15V3204
3,Mouvement Démocrate,3.0,0.0,7.0,VTANR5L15V3204
4,Parti communiste français,0.0,2.0,0.0,VTANR5L15V3204
5,Rassemblement national,0.0,0.0,1.0,VTANR5L15V3204
0,La République en Marche,0.0,50.0,0.0,VTANR5L15V1345
1,Les Républicains,0.0,0.0,13.0,VTANR5L15V1345
2,Mouvement Démocrate,0.0,0.0,7.0,VTANR5L15V1345
3,Parti communiste français,0.0,0.0,2.0,VTANR5L15V1345
4,Parti socialiste,0.0,0.0,3.0,VTANR5L15V1345
0,Debout la France,0.0,0.0,2.0,VTANR5L15V140
1,La France Insoumise,0.0,0.0,10.0,VTANR5L15V140
2,La République en Marche,0.0,59.0,0.0,VTANR5L15V140
3,Les Républicains,3.0,14.0,0.0,VTANR5L15V140
4,Mouvement Démocrate,0.0,9.0,0.0,VTANR5L15V140
5,Non rattaché,0.0,1.0,0.0,VTANR5L15V140
6,Parti communiste français,0.0,0.0,2.0,VTANR5L15V140
7,Rassemblement national,0.0,0.0,4.0,VTANR5L15V140
8,Régions et peuples solidaires,0.0,2.0,0.0,VTANR5L15V140
9,Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,0.0,0.0,1.0,VTANR5L15V140
0,Calédonie Ensemble,0.0,0.0,1.0,VTANR5L15V2304
1,La République en Marche,0.0,28.0,0.0,VTANR5L15V2304
2,Les Républicains,0.0,0.0,5.0,VTANR5L15V2304
3,Mouvement Démocrate,0.0,0.0,2.0,VTANR5L15V2304
4,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V2304
5,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2304
6,Régions et peuples solidaires,0.0,0.0,3.0,VTANR5L15V2304
0,La République en Marche,0.0,34.0,0.0,VTANR5L15V1803
1,Les Républicains,0.0,0.0,4.0,VTANR5L15V1803
2,Mouvement Démocrate,1.0,4.0,0.0,VTANR5L15V1803
3,Parti communiste français,0.0,0.0,2.0,VTANR5L15V1803
4,Parti socialiste,0.0,0.0,1.0,VTANR5L15V1803
5,Régions et peuples solidaires,0.0,0.0,2.0,VTANR5L15V1803
6,"Union des démocrates, radicaux et libéraux",2.0,0.0,1.0,VTANR5L15V1803
0,La France Insoumise,2.0,0.0,0.0,VTANR5L15V1326
1,La République en Marche,0.0,0.0,27.0,VTANR5L15V1326
2,Mouvement Démocrate,0.0,0.0,1.0,VTANR5L15V1326
3,Non rattachée,0.0,0.0,1.0,VTANR5L15V1326
4,Parti communiste français,0.0,2.0,0.0,VTANR5L15V1326
5,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1326
0,Debout la France,0.0,1.0,0.0,VTANR5L15V1107
1,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1107
2,La République en Marche,2.0,40.0,6.0,VTANR5L15V1107
3,Les Républicains,0.0,4.0,0.0,VTANR5L15V1107
4,Mouvement Démocrate,2.0,4.0,0.0,VTANR5L15V1107
5,Non rattachée,0.0,1.0,0.0,VTANR5L15V1107
6,Parti communiste français,0.0,0.0,2.0,VTANR5L15V1107
7,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V1107
8,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1107
9,Rassemblement national,0.0,2.0,0.0,VTANR5L15V1107
10,Régions et peuples solidaires,0.0,0.0,2.0,VTANR5L15V1107
0,Calédonie Ensemble,0.0,0.0,1.0,VTANR5L15V1018
1,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V1018
2,La France Insoumise,0.0,0.0,9.0,VTANR5L15V1018
3,La République en Marche,3.0,64.0,1.0,VTANR5L15V1018
4,Les Républicains,1.0,5.0,0.0,VTANR5L15V1018
5,Mouvement Démocrate,0.0,4.0,0.0,VTANR5L15V1018
6,Parti communiste français,0.0,0.0,6.0,VTANR5L15V1018
7,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V1018
8,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V1018
9,Parti socialiste,0.0,0.0,4.0,VTANR5L15V1018
10,Régions et peuples solidaires,0.0,0.0,5.0,VTANR5L15V1018
11,Tapura Huiraatira,0.0,0.0,1.0,VTANR5L15V1018
12,"Union des démocrates, radicaux et libéraux",0.0,3.0,2.0,VTANR5L15V1018
0,Calédonie Ensemble,0.0,1.0,0.0,VTANR5L15V1012
1,Cap sur l'avenir,1.0,0.0,0.0,VTANR5L15V1012
2,Debout la France,1.0,0.0,0.0,VTANR5L15V1012
3,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V1012
4,La France Insoumise,0.0,0.0,8.0,VTANR5L15V1012
5,La République en Marche,3.0,88.0,0.0,VTANR5L15V1012
6,Les Républicains,4.0,17.0,0.0,VTANR5L15V1012
7,Mouvement Démocrate,0.0,15.0,0.0,VTANR5L15V1012
8,Non rattaché,1.0,0.0,0.0,VTANR5L15V1012
9,Parti communiste français,0.0,0.0,6.0,VTANR5L15V1012
10,Parti progressiste martiniquais,0.0,0.0,3.0,VTANR5L15V1012
11,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V1012
12,Parti socialiste,0.0,0.0,8.0,VTANR5L15V1012
13,Rassemblement national,1.0,0.0,2.0,VTANR5L15V1012
14,Régions et peuples solidaires,0.0,2.0,3.0,VTANR5L15V1012
15,"Union des démocrates, radicaux et libéraux",0.0,6.0,1.0,VTANR5L15V1012
0,La République en Marche,0.0,0.0,44.0,VTANR5L15V2044
1,Les Républicains,0.0,0.0,7.0,VTANR5L15V2044
2,Mouvement Démocrate,0.0,0.0,3.0,VTANR5L15V2044
3,Parti socialiste,0.0,0.0,4.0,VTANR5L15V2044
4,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V2044
5,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V2044
0,La France Insoumise,3.0,0.0,0.0,VTANR5L15V1677
1,La République en Marche,0.0,42.0,0.0,VTANR5L15V1677
2,Les Républicains,0.0,0.0,8.0,VTANR5L15V1677
3,Mouvement Démocrate,0.0,0.0,8.0,VTANR5L15V1677
4,Non rattachée,0.0,1.0,0.0,VTANR5L15V1677
5,Parti communiste français,2.0,0.0,1.0,VTANR5L15V1677
6,Parti socialiste,0.0,0.0,3.0,VTANR5L15V1677
7,Régions et peuples solidaires,0.0,0.0,4.0,VTANR5L15V1677
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,2.0,VTANR5L15V1677
0,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V698
1,La République en Marche,2.0,39.0,7.0,VTANR5L15V698
2,Les Républicains,0.0,6.0,0.0,VTANR5L15V698
3,Mouvement Démocrate,0.0,6.0,0.0,VTANR5L15V698
4,Non rattaché,0.0,1.0,0.0,VTANR5L15V698
5,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V698
6,Rassemblement national,0.0,0.0,1.0,VTANR5L15V698
7,Régions et peuples solidaires,0.0,1.0,0.0,VTANR5L15V698
8,"Union des démocrates, radicaux et libéraux",0.0,2.0,0.0,VTANR5L15V698
0,Calédonie Ensemble,0.0,1.0,0.0,VTANR5L15V1028
1,Cap sur l'avenir,0.0,1.0,0.0,VTANR5L15V1028
2,La France Insoumise,0.0,0.0,5.0,VTANR5L15V1028
3,La République en Marche,0.0,43.0,0.0,VTANR5L15V1028
4,Les Républicains,0.0,8.0,0.0,VTANR5L15V1028
5,Mouvement Démocrate,0.0,6.0,0.0,VTANR5L15V1028
6,Parti communiste français,0.0,0.0,4.0,VTANR5L15V1028
7,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V1028
8,Parti radical de gauche,1.0,0.0,0.0,VTANR5L15V1028
9,Parti socialiste,2.0,0.0,2.0,VTANR5L15V1028
10,Rassemblement national,1.0,0.0,0.0,VTANR5L15V1028
11,Régions et peuples solidaires,0.0,1.0,2.0,VTANR5L15V1028
12,"Union des démocrates, radicaux et libéraux",0.0,3.0,0.0,VTANR5L15V1028
0,La République en Marche,0.0,0.0,35.0,VTANR5L15V1929
1,Les Républicains,5.0,0.0,2.0,VTANR5L15V1929
2,Mouvement Démocrate,0.0,0.0,4.0,VTANR5L15V1929
3,Parti communiste français,0.0,0.0,3.0,VTANR5L15V1929
4,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V1929
5,Parti socialiste,0.0,0.0,1.0,VTANR5L15V1929
6,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V1929
7,Tapura Huiraatira,0.0,0.0,1.0,VTANR5L15V1929
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,2.0,VTANR5L15V1929
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1006
1,La République en Marche,0.0,0.0,28.0,VTANR5L15V1006
2,Parti communiste français,0.0,0.0,2.0,VTANR5L15V1006
3,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1006
4,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V1006
5,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V1006
0,La France Insoumise,0.0,0.0,5.0,VTANR5L15V308
1,La République en Marche,0.0,44.0,0.0,VTANR5L15V308
2,Non rattachée,0.0,1.0,0.0,VTANR5L15V308
3,Parti communiste français,0.0,0.0,3.0,VTANR5L15V308
0,La France Insoumise,0.0,5.0,0.0,VTANR5L15V510
1,La République en Marche,4.0,0.0,54.0,VTANR5L15V510
2,Les Républicains,0.0,12.0,0.0,VTANR5L15V510
3,Mouvement Démocrate,0.0,0.0,5.0,VTANR5L15V510
4,Non rattaché,1.0,0.0,0.0,VTANR5L15V510
5,Parti communiste français,0.0,3.0,0.0,VTANR5L15V510
6,Parti progressiste martiniquais,1.0,0.0,0.0,VTANR5L15V510
7,Parti socialiste,8.0,0.0,1.0,VTANR5L15V510
0,La République en Marche,0.0,82.0,0.0,VTANR5L15V2397
1,Les Républicains,0.0,0.0,30.0,VTANR5L15V2397
2,Mouvement Démocrate,0.0,14.0,0.0,VTANR5L15V2397
3,Parti communiste français,0.0,0.0,9.0,VTANR5L15V2397
