,membre_acteurRef,membre_civ,membre_prenom,membre_nom
0,PA721246,Mme,Albane,Gaillot
0,PA718802,M.,Alain,Perea
0,PA720326,M.,Brahim,Hammouche
0,PA337483,M.,Serge,Letchimy
0,PA718926,M.,Pierre,Dharréville
0,PA721808,Mme,Michèle,Crouzet
0,PA722218,Mme,Cécile,Delpirou
0,PA719242,M.,Jean-Baptiste,Moreau
0,PA719512,Mme,Corinne,Vignon
0,PA722260,M.,Cédric,Villani
0,PA722090,Mme,Bénédicte,Pételle
0,PA717379,M.,Sylvain,Maillard
0,PA721946,M.,Jacques,Marilossian
0,PA722102,Mme,Annie,Vidal
0,PA720520,Mme,Anne-Laure,Cattelot
0,PA721776,M.,Didier,Baichère
0,PA720362,M.,Belkhir,Belhaddad
0,PA719798,M.,Daniel,Labaronne
0,PA720916,Mme,Fiona,Lazaar
0,PA720598,Mme,Marguerite,Deprez-Audebert
0,PA608641,M.,Yves,Blein
0,PA721352,Mme,Danièle,Cazarian
0,PA267306,M.,André,Chassaigne
0,PA722202,M.,Sébastien,Jumel
0,PA719578,M.,Loïc,Prud'homme
0,PA267204,M.,Jean-Marie,Sermier
0,PA340343,M.,Hervé,Saulignac
0,PA333421,M.,Bertrand,Pancher
0,PA721530,Mme,Aude,Luquet
0,PA721632,Mme,Patricia,Lemoine
0,PA720202,Mme,Sonia,Krimi
0,PA719866,Mme,Caroline,Abadie
0,PA719540,Mme,Élisabeth,Toutut-Picard
0,PA721984,M.,Philippe,Latombe
0,PA719858,Mme,Monique,Limon
0,PA721036,M.,Lénaïck,Adam
0,PA721932,Mme,Marie-France,Lorho
0,PA719668,Mme,Patricia,Mirallès
0,PA720908,Mme,Naïma,Moutchou
0,PA608826,Mme,Virginie,Duby-Muller
0,PA607553,M.,Dominique,Potier
0,PA1592,M.,David,Habib
0,PA719756,Mme,Christine,Cloarec-Le Nabour
0,PA335532,Mme,George,Pau-Langevin
0,PA343493,M.,Gwendal,Rouillard
0,PA719806,Mme,Sophie,Auconie
0,PA718794,Mme,Danièle,Hérin
0,PA720492,Mme,Catherine,Osson
0,PA719528,M.,Jean-François,Portarrieu
0,PA721768,Mme,Marie,Silin
0,PA720370,M.,Ludovic,Mendes
0,PA720720,Mme,Josy,Poueyto
0,PA718860,Mme,Bénédicte,Taurine
0,PA720546,M.,Alain,Bruneel
0,PA719350,Mme,Marie,Tamarelle-Verhaeghe
0,PA267200,M.,Sébastien,Huyghe
0,PA720438,M.,Christophe,Di Pompeo
0,PA722134,M.,Jean-Marie,Fiévet
0,PA719994,Mme,Catherine,Kamowski
0,PA330008,M.,Xavier,Breton
0,PA720222,M.,Éric,Girardin
0,PA719364,Mme,Claire,O'Petit
0,PA608172,Mme,Christine,Pires Beaune
0,PA330909,M.,Vincent,Descoeur
0,PA1029,M.,Bernard,Deflesselles
0,PA942,M.,Charles,de Courson
0,PA720854,M.,Stéphane,Testé
0,PA642764,M.,Joël,Aviragnet
0,PA759192,M.,Jean-Luc,Poudroux
0,PA266793,M.,Jean-Yves,Bony
0,PA721012,Mme,Manuéla,Kéclard-Mondésir
0,PA719420,M.,Denis,Sommer
0,PA720286,Mme,Caroline,Fiat
0,PA720996,M.,M'jid,El Guerrab
0,PA643089,M.,Jean-Louis,Thiériot
0,PA605963,M.,Éric,Alauzet
0,PA330240,M.,Éric,Ciotti
0,PA721832,Mme,Sandra,Boëlle
0,PA642935,M.,Olivier,Becht
0,PA720268,M.,Olivier,Damaisin
0,PA719020,Mme,Nathalie,Porte
0,PA608695,Mme,Cécile,Untermaier
0,PA720422,M.,Adrien,Quatennens
0,PA342240,M.,Jean-Luc,Bourgeaux
0,PA721836,M.,Jean-Noël,Barrot
0,PA722110,M.,Hubert,Wulfranc
0,PA722142,M.,François,Ruffin
0,PA719922,M.,Lionel,Causse
0,PA609726,M.,Julien,Aubert
0,PA718944,Mme,Cathy,Racon-Bouzon
0,PA719146,M.,Jean-Félix,Acquaviva
0,PA718728,Mme,Laurence,Vanceunebrock
0,PA722308,Mme,Nathalie,Serre
0,PA718978,M.,Mohamed,Laqhila
0,PA722228,M.,Jean-Claude,Leclabart
0,PA605694,M.,Olivier,Falorni
0,PA643175,Mme,Stella,Dupont
0,PA721844,Mme,Béatrice,Piron
0,PA607155,M.,Yves,Daniel
0,PA719266,M.,Jean-Pierre,Cubertafon
0,PA2492,M.,Didier,Quentin
0,PA266808,M.,Vincent,Rolland
0,PA721202,M.,Éric,Coquerel
0,PA720806,Mme,Laurence,Gayte
0,PA718736,Mme,Bénédicte,Peyrol
0,PA718954,M.,Saïd,Ahamada
0,PA642724,M.,Frédéric,Barbier
0,PA720764,Mme,Florence,Lasserre
0,PA643205,Mme,Anne-Christine,Lang
0,PA720092,M.,Richard,Ramos
0,PA719770,M.,Florian,Bachelier
0,PA1874,M.,Marc,Le Fur
0,PA720802,Mme,Catherine,Pujol
0,PA608292,Mme,Jeanine,Dubié
0,PA719326,Mme,Séverine,Gipson
0,PA336439,M.,Jean-Michel,Clément
0,PA721410,Mme,Émilie,Bonnivard
0,PA1206,M.,Nicolas,Dupont-Aignan
0,PA720560,Mme,Perrine,Goulet
0,PA721166,Mme,Samantha,Cazebonne
0,PA722300,Mme,Anissa,Khedher
0,PA720738,M.,Thierry,Michels
0,PA719138,M.,Michel,Castellani
0,PA721142,Mme,Paula,Forteza
0,PA717167,M.,Mounir,Mahjoubi
0,PA719946,M.,Guillaume,Peltier
0,PA774960,Mme,Isabelle,Santiago
0,PA267785,M.,Guillaume,Larrivé
0,PA720354,M.,Jean-Michel,Jacques
0,PA332614,M.,Régis,Juanico
0,PA720728,M.,Jean-Paul,Mattei
0,PA718756,Mme,Aude,Bono-Vandorme
0,PA722344,M.,Hubert,Julien-Laferrière
0,PA719692,M.,Jean-François,Eliaou
0,PA720146,M.,Denis,Masséglia
0,PA720932,M.,Dominique,Da Silva
0,PA720006,M.,Luc,Geismar
0,PA1327,M.,Nicolas,Forissier
0,PA719830,M.,Nicolas,Démoulin
0,PA721734,M.,Philippe,Michel-Kleisbauer
0,PA721182,M.,Frédéric,Petit
0,PA720862,M.,Frédéric,Descrozaille
0,PA721150,M.,Alexandre,Holroyd
0,PA718910,Mme,Claire,Pitollat
0,PA2150,M.,Jean-Luc,Mélenchon
0,PA721194,Mme,Frédérique,Dumas
0,PA605036,M.,Damien,Abad
0,PA719790,M.,Philippe,Chalumeau
0,PA719404,M.,Didier,Le Gac
0,PA719154,M.,Didier,Martin
0,PA607193,Mme,Sophie,Errante
0,PA718768,Mme,Alexandra,Valetta Ardisson
0,PA721296,M.,Guillaume,Gouffier-Cha
0,PA719170,Mme,Fannette,Charvier
0,PA719624,Mme,Bérangère,Couillard
0,PA610667,M.,Gabriel,Serville
0,PA346054,M.,Emmanuel,Maquet
0,PA267766,M.,Guy,Bricout
0,PA720214,Mme,Aina,Kuric
0,PA722094,Mme,Christine,Hennion
0,PA606507,M.,Florent,Boudié
0,PA722126,M.,Guillaume,Chiche
0,PA345722,Mme,Constance,Le Grip
0,PA720430,M.,Ugo,Bernalicis
0,PA719210,M.,Bruno,Joncour
0,PA720576,M.,Pascal,Bois
0,PA719736,Mme,Camille,Galliard-Minier
0,PA333285,M.,Guillaume,Garot
0,PA267440,M.,Éric,Diard
0,PA755549,M.,Sylvain,Brial
0,PA721538,Mme,Muriel,Roques-Etienne
0,PA719652,Mme,Véronique,Hammerer
0,PA720586,M.,Pierre,Vatin
0,PA643127,M.,Bruno,Questel
0,PA722038,M.,Damien,Adam
0,PA718876,M.,Grégory,Besson-Moreau
0,PA2529,M.,Jean-Luc,Reitzer
0,PA722118,Mme,Sira,Sylla
0,PA720644,M.,Jérôme,Nury
0,PA720780,M.,Jean-Bernard,Sempastous
0,PA719684,Mme,Coralie,Dubost
0,PA720230,Mme,Lise,Magnier
0,PA1008,M.,Alain,David
0,PA719960,Mme,Valéria,Faure-Muntian
0,PA607395,M.,Stéphane,Travert
0,PA722382,M.,Benjamin,Dirx
0,PA642695,M.,Éric,Bothorel
0,PA719550,Mme,Liliana,Tanguy
0,PA721584,M.,Jean,Terlier
0,PA722244,Mme,Marie-Ange,Magne
0,PA266776,M.,Frédéric,Reiss
0,PA719412,Mme,Sandrine,Le Feur
0,PA720108,Mme,Valérie,Oppelt
0,PA267378,Mme,Geneviève,Levy
0,PA720790,M.,Romain,Grau
0,PA721666,Mme,Edith,Audibert
0,PA720754,M.,Bruno,Studer
0,PA721458,M.,Xavier,Roseren
0,PA720878,M.,Laurent,Saint-Martin
0,PA721864,Mme,Souad,Zitouni
0,PA718850,M.,Pierre,Cordier
0,PA346876,M.,Thierry,Solère
0,PA719608,Mme,Emmanuelle,Ménard
0,PA721218,Mme,Sylvie,Charrière
0,PA267450,M.,Rémi,Delatte
0,PA718990,Mme,Anne,Blanc
0,PA719918,M.,Fabien,Lainé
0,PA721270,M.,Stéphane,Peu
0,PA643145,Mme,Hélène,Vainqueur-Christophe
0,PA719388,Mme,Annaïg,Le Meur
0,PA721070,Mme,Nadia,Ramassamy
0,PA721624,Mme,Laetitia,Avia
0,PA719006,M.,Fabrice,Le Vigoureux
0,PA643004,M.,Grégory,Labille
0,PA719842,M.,Mustapha,Laabid
0,PA722000,M.,Stéphane,Buchou
0,PA721344,M.,Bruno,Bonnell
0,PA722030,M.,Pierre-Yves,Bournazel
0,PA720684,M.,Pierre-Henri,Dumont
0,PA1809,M.,Jérôme,Lambert
0,PA2449,M.,Jean-Pierre,Pont
0,PA605084,M.,Jacques,Krabal
0,PA332523,Mme,Marie-Christine,Dalloz
0,PA332228,M.,Thierry,Benoit
0,PA719464,M.,Sébastien,Nadot
0,PA722292,M.,Thomas,Rudigoz
0,PA508,Mme,Gisèle,Biémouret
0,PA334116,Mme,Jacqueline,Maquet
0,PA720606,M.,Ludovic,Pajot
0,PA720170,Mme,Carole,Grandjean
0,PA720386,M.,Fabien,Di Filippo
0,PA719186,Mme,Fadila,Khattabi
0,PA719218,M.,Hervé,Berville
0,PA721398,Mme,Typhanie,Degois
0,PA719092,Mme,Frédérique,Tuffnell
0,PA718884,Mme,Valérie,Bazin-Malgras
0,PA719272,Mme,Frédérique,Meunier
0,PA774954,Mme,Anne-Laure,Blin
0,PA721888,M.,Pierre-Alain,Raphan
0,PA718682,M.,Stéphane,Trompille
0,PA712015,M.,Julien,Dive
0,PA721118,M.,Moetai,Brotherson
0,PA720162,M.,Philippe,Bolo
0,PA721816,M.,Ian,Boucard
0,PA719396,M.,Jean-Charles,Larsonneur
0,PA689,Mme,Marie-George,Buffet
0,PA643192,Mme,Chantal,Jourdan
0,PA720672,M.,Robert,Therry
0,PA720100,M.,Aurélien,Pradié
0,PA748954,M.,Antoine,Savignat
0,PA722046,Mme,Aurore,Bergé
0,PA721800,M.,Fabien,Matras
0,PA718780,Mme,Laurence,Trastour-Isnart
0,PA722162,M.,Nicolas,Turquois
0,PA718894,M.,Loïc,Dombreval
0,PA720210,Mme,Valérie,Beauvais
0,PA719660,Mme,Christelle,Dubos
0,PA588884,Mme,Clémentine,Autain
0,PA336175,Mme,Sylvia,Pinel
0,PA609590,Mme,Valérie,Rabault
0,PA335999,Mme,Delphine,Batho
0,PA721968,M.,Michel,Vialay
0,PA719570,Mme,Catherine,Fabre
0,PA718918,Mme,Alexandra,Louis
0,PA720468,M.,Sébastien,Chenu
0,PA709315,M.,Arnaud,Viala
0,PA719100,M.,Jean-Philippe,Ardouin
0,PA721314,M.,Raphaël,Schellenberger
0,PA721226,Mme,Sabine,Rubin
0,PA719640,Mme,Sophie,Mette
0,PA2155,M.,Gérard,Menuel
0,PA923,M.,François,Cornut-Gentille
0,PA721426,Mme,Véronique,Riotton
0,PA223837,M.,Bernard,Brochand
0,PA267527,M.,Martial,Saddier
0,PA719286,M.,Paul-André,Colombani
0,PA720038,Mme,Sandrine,Josso
0,PA720552,Mme,Isabelle,Rauch
0,PA721372,M.,Damien,Pichereau
0,PA721880,Mme,Marie,Guévenoux
0,PA721710,Mme,Michèle,Peyron
0,PA719778,M.,François,Jolivet
0,PA721656,Mme,Cécile,Muschotti
0,PA718744,Mme,Delphine,Bagarry
0,PA720342,Mme,Nicole,Le Peih
0,PA720414,M.,Patrice,Perrot
0,PA340357,Mme,Michèle,Victory
0,PA721046,Mme,Nathalie,Bassire
0,PA720488,Mme,Valérie,Six
0,PA721726,Mme,Sereine,Mauborgne
0,PA720830,Mme,Valérie,Thomas
0,PA606202,Mme,Françoise,Dumas
0,PA721506,Mme,Brigitte,Kuster
0,PA718962,M.,Jean-Marc,Zulesi
0,PA720030,M.,Alexandre,Freschi
0,PA721916,Mme,Natalia,Pouzyreff
0,PA720190,M.,Bertrand,Sorre
0,PA605991,Mme,Annie,Genevard
0,PA720046,Mme,Audrey,Dufeu
0,PA719202,M.,Didier,Paris
0,PA720538,Mme,Jennifer,De Temmerman
0,PA722284,M.,Bruno,Fuchs
0,PA719310,Mme,Célia,de Lavergne
0,PA718720,M.,Jean-Paul,Dufrègne
0,PA721174,M.,Joachim,Son-Forget
0,PA721792,Mme,Émilie,Guerel
0,PA1276,M.,Michel,Fanget
0,PA722194,Mme,Florence,Provendier
0,PA719814,Mme,Fabienne,Colboc
0,PA719162,Mme,Jacqueline,Dubois
0,PA719600,M.,Éric,Poulliat
0,PA335054,Mme,Marietta,Karamanli
0,PA719118,M.,François,Cormier-Bouligeon
0,PA1695,M.,Christian,Jacob
0,PA1012,M.,Charles,de la Verpillière
0,PA720614,Mme,Marine,Le Pen
0,PA721498,M.,Stanislas,Guerini
0,PA342935,Mme,Marianne,Dubois
0,PA721054,M.,David,Lorion
0,PA720900,Mme,Cécile,Rilhac
0,PA721976,M.,Bruno,Millienne
0,PA719930,M.,Boris,Vallaud
0,PA720178,M.,Laurent,Garcia
0,PA342415,Mme,Marie-Noëlle,Battistel
0,PA721286,M.,Alain,Ramadier
0,PA720014,Mme,Huguette,Tiegna
0,PA267794,Mme,Michèle,Tabarot
0,PA720814,M.,Sébastien,Cazenove
0,PA720516,Mme,Florence,Morlighem
0,PA718694,M.,Marc,Delatte
0,PA721616,M.,Pacôme,Rupin
0,PA722358,M.,Thomas,Gassilloud
0,PA720446,Mme,Brigitte,Liso
0,PA267289,M.,Jean-Pierre,Door
0,PA721542,Mme,Marie-Christine,Verdier-Jouclas
0,PA720154,Mme,Nicole,Dubré-Chirat
0,PA608016,Mme,Véronique,Louwagie
0,PA695100,M.,Meyer,Habib
0,PA722280,M.,Philippe,Meyer
0,PA721872,Mme,Brune,Poirson
0,PA718784,M.,Éric,Pauget
0,PA720334,M.,Jimmy,Pahun
0,PA702054,M.,Stéphane,Claireaux
0,PA760658,M.,Francis,Chouat
0,PA774958,M.,Gérard,Leseul
0,PA720822,M.,Bruno,Bilde
0,PA718674,Mme,Olga,Givernet
0,PA719436,M.,Nicolas,Meizonnet
0,PA643134,Mme,Isabelle,Valentin
0,PA721852,Mme,Marie,Lebec
0,PA719318,Mme,Emmanuelle,Anthoine
0,PA721434,Mme,Frédérique,Lardet
0,PA721418,M.,Patrick,Mignola
0,PA721134,M.,Roland,Lescure
0,PA719850,Mme,Cendra,Motin
0,PA334768,M.,Jean-Louis,Touraine
0,PA719632,Mme,Sophie,Panonacle
0,PA267042,M.,Yannick,Favennec Becot
0,PA720870,M.,Jean François,Mbaye
0,PA722062,Mme,Florence,Granjus
0,PA721576,Mme,Sylvie,Bouchet Bellecourt
0,PA722240,M.,Pierre,Venteau
0,PA719616,M.,Christophe,Euzet
0,PA2960,M.,Éric,Woerth
0,PA720952,M.,Aurélien,Taché
0,PA719080,Mme,Sandra,Marsaud
0,PA333818,M.,Christian,Hutin
0,PA720772,M.,Vincent,Bru
0,PA610654,M.,Jean-Philippe,Nilor
0,PA721568,M.,Pierre,Person
0,PA721718,Mme,Stéphanie,Do
0,PA719592,M.,Benoit,Simian
0,PA331567,Mme,Laure,de La Raudière
0,PA721908,Mme,Yaël,Braun-Pivet
0,PA722008,Mme,Martine,Leguille-Balloy
0,PA722398,M.,Rémy,Rebeyrotte
0,PA722336,M.,Vincent,Thiébaut
0,PA720298,Mme,Émilie,Cariou
0,PA721024,Mme,Anne,Genetet
0,PA722252,Mme,Marie-Pierre,Rixain
0,PA720846,M.,Bastien,Lachaud
0,PA721234,Mme,Maud,Petit
0,PA332747,M.,François,de Rugy
0,PA267337,Mme,Claire,Bouchet
0,PA719952,M.,Jean-Michel,Mis
0,PA721514,Mme,Stéphanie,Kerbarh
0,PA721486,M.,Christophe,Naegelen
0,PA2828,M.,Alain,Tourret
0,PA718868,M.,Michel,Larive
0,PA643157,M.,Philippe,Naillet
0,PA719710,Mme,Dominique,David
0,PA719740,M.,Jean-Charles,Colas-Roy
0,PA719874,Mme,Élodie,Jacquier-Laforge
0,PA1630,M.,Michel,Herbillon
0,PA720704,Mme,Laurence,Vichnievsky
0,PA643103,M.,Jean-Jacques,Ferrara
0,PA608416,M.,Patrick,Hetzel
0,PA331582,M.,Philippe,Vigier
0,PA721262,M.,Guillaume,Vuilletet
0,PA721474,M.,Stéphane,Viry
0,PA720318,Mme,Hélène,Zannier
0,PA720480,Mme,Charlotte,Lecocq
0,PA606171,M.,Richard,Ferrand
0,PA2796,M.,Guy,Teissier
0,PA720402,M.,Xavier,Paluszkiewicz
0,PA721522,M.,Xavier,Batut
0,PA719472,M.,Jean-René,Cazeneuve
0,PA266797,M.,Philippe,Gosselin
0,PA702052,Mme,Maina,Sage
0,PA342196,Mme,Claudia,Rouaux
0,PA720976,M.,Max,Mathiasin
0,PA721678,M.,Robin,Reda
0,PA774952,M.,Philippe,Benassaya
0,PA720630,M.,Maxime,Minot
0,PA720892,Mme,Mathilde,Panot
0,PA720664,M.,José,Evrard
0,PA421348,M.,André,Villiers
0,PA712014,M.,Vincent,Ledoux
0,PA720378,M.,Richard,Lioger
0,PA720500,Mme,Valérie,Petit
0,PA719002,M.,Julien,Ravier
0,PA721742,Mme,Isabelle,Florennes
0,PA721608,M.,Jean-Louis,Bourlanges
0,PA606639,M.,Patrick,Vignal
0,PA267318,M.,Jean-Carles,Grelier
0,PA335612,M.,Jean-Paul,Lecoq
0,PA677483,M.,Stéphane,Mazars
0,PA642847,M.,Thibault,Bazin
0,PA719330,M.,Fabien,Gouttefarde
0,PA720652,M.,Bruno,Duvergé
0,PA721644,M.,Rodrigue,Kokouendo
0,PA721110,Mme,Nicole,Sanquer
0,PA607595,M.,Hervé,Pellois
0,PA719822,Mme,Sabine,Thillaye
0,PA722390,Mme,Josiane,Corneloup
0,PA721824,M.,Hugues,Renson
0,PA719032,M.,Bertrand,Bouyx
0,PA720968,Mme,Justine,Benin
0,PA720928,M.,David,Corceiro
0,PA604,M.,Bernard,Bouley
0,PA720622,Mme,Carole,Bureau-Bonnard
0,PA720960,M.,Olivier,Serva
0,PA721364,M.,Raphaël,Gauvain
0,PA721158,M.,Pieyre-Alexandre,Anglade
0,PA1838,M.,Jean,Lassalle
0,PA721674,Mme,Stéphanie,Atger
0,PA856,M.,Gérard,Cherpion
0,PA719718,Mme,Laurence,Maillart-Méhaignerie
0,PA342601,M.,Pascal,Brindeau
0,PA609332,M.,Olivier,Faure
0,PA719488,M.,Philippe,Berta
0,PA267429,M.,Dino,Cinieri
